title,description,date,url
La paloma de la paz de Botero salió de la Casa de Nariño: esta es la historia,El Espectador conoció detalles sobre el traslado de la Paloma de La Paz de Fernando Botero desde la Casa de Nariño.,30/07/2026,https://www.elespectador.com/politica/paloma-de-la-paz-de-fernando-botero-fue-trasladada-de-la-casa-de-narino-noticias-hoy/
De la Espriella anuncia nuevos nombramientos para su gabinete desde empalme en Cundinamarca,"El presidente electo dio varios anuncios en su empalme regional desde Cundinamarca, entre ellos nuevos nombramientos para su gabinete.",31/07/2026,https://www.elespectador.com/politica/abelardo-de-la-espriella-anuncia-nuevos-nombramientos-para-su-gabinete-desde-empalme-en-cundinamarca-noticias-hoyii/
Centro Democrático define a sus candidatos para el Consejo Nacional Electoral (CNE),El Centro Democrático compartió los nominados para que puedan quedarse con alguna de las dos sillas que les corresponderían en el CNE.,30/07/2026,https://www.elespectador.com/politica/centro-democratico-define-a-sus-candidatos-para-cne-amalia-salgado-jaime-amin-y-nubia-stella-martinez-noticias-hoy/
Gobierno Petro desclasifica primeros documentos del DAS: algunos son sobre Jaime Garzón,La Presidencia desclasificó los primeros archivos del DAS. Los primeros dos conjuntos documentales son sobre Jaime Garzón y Pedro Movilla.,31/07/2026,https://www.elespectador.com/politica/gobierno-petro-desclasifica-primeros-documentos-del-das-algunos-son-sobre-jaime-garzon-y-pedro-movilla-noticias-hoy/
Congreso no pagará estadía a legisladores en posesión: un partido asumirá sus propios gastos,Congreso no pagará estadía de congresistas que asistan a posesión. Centro Democrático anunció que asumirá con recursos propios sus gastos.,31/07/2026,https://www.elespectador.com/politica/congreso-no-pagara-estadia-a-legisladores-en-posesion-de-abelardo-de-la-espriella-centro-democratico-asumira-sus-propios-gastos/
Comuneros del Sur están cerca de la desmovilización; esperan piso jurídico de nuevo gobierno,Comuneros del Sur espera Ley de orden público y piso jurídico por parte del gobierno de De la Espriella para poder someterse a la justicia.,30/07/2026,https://www.elespectador.com/politica/comuneros-del-sur-estan-cerca-de-la-desmovilizacion-esperan-piso-juridico-del-gobierno-de-abelardo-de-la-espriella-noticias-hoy/
Congreso en pleno fue convocado el 12 de agosto para la elección del próximo contralor,El Senado y la Cámara de Representantes fueron citados a las 2:00 p. m. para elegir sobre la lista de 10 finalistas.,30/07/2026,https://www.elespectador.com/politica/contraloria-congreso-en-pleno-fue-convocado-el-12-de-agosto-para-la-eleccion-del-proximo-contralor-noticias-hoy/
Sigue avalancha de cambios en la diplomacia y en notarías en el cierre del gobierno Petro,La Cancillería suprimió cinco consulados honorarios y abrió otro en Antigua y Barbuda. Esto se sabe de los movimientos notariales.,30/07/2026,https://www.elespectador.com/politica/cierran-consulados-honorarios-y-nombran-nuevos-notarios-y-embajadores-en-el-cierre-del-gobierno-de-gustavo-petro-no/
Comenzó cuenta regresiva para posesión de De la Espriella: los detalles y los invitados,Los mandatarios Javier Milei (Argentina) y Daniel Noboa (Ecuador) confirmaron asistencia.,30/07/2026,https://www.elespectador.com/politica/posesion-de-abelardo-de-la-espriella-sera-en-cali-estos-son-los-invitados-confirmados-y-los-detalles-noticias-hoy/
Abelardo de la Espriella aterrizará en Bogotá para su “empalme regional” con Cundinamarca,El presidente electo se reunirá con el gobernador Jorge Rey y los alcaldes de municipios cundinamarqueses en la capital.,30/07/2026,https://www.elespectador.com/politica/abelardo-de-la-espriella-aterrizara-en-bogota-para-empalme-regional-con-cundinamarca-cual-es-la-agenda-noticias-hoy/
Petro viajará a Cuba tras cancelar agenda en EE. UU.: sería su último viaje como presidente,"Ocurre después de que su sucesor, Abelardo de la Espriella, anunciara que romperá relaciones con ese país.",30/07/2026,https://www.elespectador.com/politica/petro-viajara-a-cuba-tras-cancelar-visita-a-estados-unidos-sera-su-ultima-visita-oficial-como-presidente-noticias-hoy/
Gobierno electo de De la Espriella adelantó reuniones con delegados de EE. UU.: esto se sabe,"""Queremos ayudar con la crisis energética que viene, con la crisis de salud y de inseguridad”, dijo la comitiva de Estados Unidos.",30/07/2026,https://www.elespectador.com/politica/gobierno-electo-de-de-la-espriella-adelanto-reuniones-con-delegados-de-estados-unidos-esto-se-sabe-noticias-hoy/
La promesa de descentralización del nuevo gobierno empieza a generar ruido en las regiones,El intento del mandatario electo de llevar el poder a los territorios va más allá de instalar sedes alternas de la Presidencia.,30/07/2026,https://www.elespectador.com/politica/empalmes-regionales-en-bogota-promesa-de-descentralizacion-de-abelardo-de-la-espriella-genera-ruido-en-las-regiones-de-colombia/
Así quedaron las presidencias del Senado: Salvación Nacional logró quedarse con dos claves,Con los acuerdos de compromisarios se había dejado claro quién encabezaría cada una. Centro Democrático también logró dos.,29/07/2026,https://www.elespectador.com/politica/asi-quedaron-las-presidencias-del-senado-salvacion-nacional-y-centro-democratico-llevan-la-delantera-noticias-hoy/
“Desmontar el Acuerdo es un ataque directo a las víctimas”: firmantes a De la Espriella,"Recordaron que lo pactado ""no es un programa de gobierno ni una concesión transitoria de un mandato a otro”.",29/07/2026,https://www.elespectador.com/politica/firmantes-de-paz-hacen-llamado-a-de-la-espriella-desmontar-el-acuerdo-es-un-ataque-directo-a-las-victimas-noticias-hoy/
Congreso respaldó a De la Espriella:  Senado también aprobó trasladar la posesión a Cali,La votación quedó 58 a favor y 30 en contra. La Cámara de Representantes también había dado el visto bueno antes.,30/07/2026,https://www.elespectador.com/politica/abelardo-de-la-espriella-posesionara-en-cali-senado-aprobo-y-congreso-ya-le-dio-el-visto-bueno-noticias-hoy/
“Espero que escuche la estrategia de paz de Nariño”: gobernador Escobar a De la Espriella,"El gobernador de Nariño, Luis Alfonso Escobar se refirió a los empalmes territoriales del gobierno entrante.",29/07/2026,https://www.elespectador.com/politica/espero-que-escuche-la-estrategia-de-paz-de-narino-gobernador-escobar-a-de-la-espriella/
Carlos Cuenca (Cambio Radical) fue elegido como presidente de la Comisión de Acusaciones,Esta célula legislativa se encarga de adelantar investigaciones contra los más altos cargos del Estado.,29/07/2026,https://www.elespectador.com/politica/comision-de-acusaciones-de-la-camara-tiene-nuevo-presidente-carlos-cuenca-de-cambio-radical-noticias-hoy/
