claim,description,date,rating,url
Video abuchean a Álvaro Uribe en La Calera antes del fallo en juicio,Usuarios en redes sociales han compartido la grabación como si fuera reciente antes de la audiencia de sentido del fallo. En realidad es de septiembre de 2019.,28/07/2025,Cuestionable,https://colombiacheck.com/chequeos/video-de-uribe-siendo-abucheado-en-la-calera-no-es-cercano-juicio-por-manipulacion-de
Video de Iván Duque en el que habla de un nuevo cerco diplomático en Ven,En la grabación original que es de un episodio de su video podcast en el que conversó con el líder opositor venezolano Leopoldo López no dice eso.,10/01/2025,Falso,https://colombiacheck.com/chequeos/video-de-duque-diciendo-que-se-necesita-un-nuevo-cerco-diplomatico-en-venezuela-es
"Petro dijo: ""vamos a expropiar para democratizar la tierra fértil"".",La desinformación arma la frase con recortes de distintos segmentos de una entrevista que el influenciador Levy Rincón le hizo en julio de 2020 al entonces senador.,08/10/2025,Falso,https://colombiacheck.com/chequeos/montaje-acomoda-audio-de-petro-para-que-parezca-decir-que-va-expropiar-al-estilo-de-chavez
Miguel Uribe habría pedido a Marco Rubio intervención militar a Colombia,La desinformación que utiliza el logo de La República para engañar ya había sido desmentida en enero por Colombiacheck.,08/07/2025,Falso,https://colombiacheck.com/chequeos/caso-leyva-revive-montaje-que-senala-miguel-uribe-de-pedirle-rubio-una-intervencion
"No coma cuento y comparta. Con Uribe, Santos, Duque y Pastrana se liquidaro",El influenciador petrista publicó un video con información cuestionable sobre la plata que se les entrega a las EPS y la auditoría del Estado.,06/06/2024,Cuestionable,https://colombiacheck.com/chequeos/celso-tete-crespo-desinforma-sobre-plata-las-eps-tras-anuncio-del-retiro-de-sura
Tengo videos de Petro recibiendo dinero de narcos y drogado,Sobre un video real de La FM con críticas del expresidente al actual mandatario montaron una frase más que en realidad no dijo.,30/05/2024,Cuestionable,https://colombiacheck.com/chequeos/aunque-pastrana-hablo-de-fusion-entre-narcotrafico-y-gobierno-petro-no-anuncio-videos-como
Miguel Uribe habría pedido a Marco Rubio una intervención militar,No existe registro sobre la supuesta noticia. La imagen que circula no coincide con los diseños de ese medio que también desmintió la publicación. Se trata de un montaje.,28/01/2025,Falso,https://colombiacheck.com/chequeos/la-republica-no-publico-que-miguel-uribe-turbay-le-pidio-estados-unidos-una-intervencion
Video de Abelardo de la Espriella pateando bolsas con cadáveres,El clip viral altera una grabación real en la que el mandatario sí camina entre bolsas pero no las patea. Hay señales de que pudo ser manipulado con inteligencia artificial.,10/09/2026,Falso,https://colombiacheck.com/chequeos/video-manipulado-muestra-abelardo-de-la-espriella-pateando-bolsas-con-cadaveres
Gobierno Petro ordenó prohibir aplicaciones de movilidad en junio de 2024,Una reciente publicación viral tergiversa una noticia sobre cargos formulados contra Uber Cabify y Didi por presuntas infracciones al régimen de libre y leal competencia.,16/05/2024,Cuestionable,https://colombiacheck.com/chequeos/gustavo-petro-no-ordeno-prohibir-plataformas-digitales-de-transporte-partir-de-junio-de
Iván Cepeda dice que apoyará a la juventud ni a la educación,En la grabación completa el candidato presidencial del Pacto Histórico describe lo que según él ocurriría en Colombia bajo un eventual gobierno de Abelardo de la Espriella.,16/06/2026,Cuestionable,https://colombiacheck.com/chequeos/video-recorta-discurso-de-ivan-cepeda-para-hacer-creer-que-se-opone-la-educacion-y-la
Ghislaine Maxwell confirma encuentros entre Trump y  Jeffrey Epstein,No se han filtrado documentos como los allí descritos con declaraciones de la cómplice del fallecido delincuente sexual contra el presidente estadounidense.,21/10/2025,Falso,https://colombiacheck.com/chequeos/video-de-ia-hace-falsa-atribucion-ghislaine-maxwell-de-testimonio-contra-trump-por-epstein
Gustavo Petro concede entrevista a periodista ateo Alan Brooks sobre la fe,No hay registros de la supuesta entrevista y además hay indicios de que el video que circula en redes sociales fue generado con inteligencia artificial.,30/05/2025,Falso,https://colombiacheck.com/chequeos/gustavo-petro-no-concedio-una-entrevista-sobre-la-fe-periodista-ateo-alan-brooks
Uribe sí se reunió con Noboa antes de guerra comercial con Colombia,El medio colombiano Noticias UNO publicó una fotografía de Álvaro Uribe y Daniel Noboa vinculándola a la crisis arancelaria entre Ecuador y Colombia. La imagen es auténtica pero fue tomada en noviembre de 2024 más de un año antes de que esa disputa comenzara.,29/04/2026,Falso,https://colombiacheck.com/chequeos/la-fotografia-de-uribe-con-noboa-es-real-pero-fue-tomada-en-noviembre-de-2024-meses-antes
Corte Suprema determinó congresistas financiados por el Cartel de los soles,La cuenta desinformadora tomó un titular de El Tiempo sobre los hallazgos de la Corte Suprema para endilgarle falsamente una revelación que no aparece allí.,10/10/2025,Falso,https://colombiacheck.com/chequeos/viral-24-tergiversa-el-ocultamiento-de-gastos-de-campana-petro-como-nexo-con-cartel-de-los
Portada de revista Semana para hoy. Álvaro Uribe Vélez,La imagen muestra una foto del expresidente superpuesta sobre el cuerpo de Olmedo López junto al falso titular y de la supuesta historia central.,06/06/2024,Falso,https://colombiacheck.com/chequeos/portada-de-revista-semana-con-el-rostro-de-uribe-y-el-titulo-el-imputado-es-un-montaje
